review_status,canonical_key,canonical_title,primary_file,variant_count,variant_extensions,max_duration_seconds,series_or_project,episode_or_segment,rights_status,publishable,sensitivity_level,primary_topics,people_entities,summary_for_search,variant_paths,notes
todo,audio_06_21_2025_22_21,Session Audio 06 21 2025 22 21 57,audio recordings/Audio_06_21_2025_22_21_57.mp3,1,.mp3,5366.432,Audio Bee,,,,,,,,audio recordings/Audio_06_21_2025_22_21_57.mp3,
todo,audio_06_23_2025_22_33,Session Audio 06 23 2025 22 33 55,audio recordings/Audio_06_23_2025_22_33_55.mp3,1,.mp3,1037.349,Audio Bee,,,,,,,,audio recordings/Audio_06_23_2025_22_33_55.mp3,
todo,audio_06_23_2025_23_40,Session Audio 06 23 2025 23 40 34,audio recordings/Audio_06_23_2025_23_40_34.mp3,1,.mp3,1015.243,Audio Bee,,,,,,,,audio recordings/Audio_06_23_2025_23_40_34.mp3,
todo,audio_07_08_2025_15_10,Session Audio 07 08 2025 15 10 02,audio recordings/Audio_07_08_2025_15_10_02.mp3,1,.mp3,538.822,Audio Bee,,,,,,,,audio recordings/Audio_07_08_2025_15_10_02.mp3,
todo,audio_07_18_2025_22_42,Session Audio 07 18 2025 22 42 26,audio recordings/Audio_07_18_2025_22_42_26.mp3,1,.mp3,42333.8,Audio Bee,,,,,,,,audio recordings/Audio_07_18_2025_22_42_26.mp3,
todo,audio_07_20_2025_22_22,Session Audio 07 20 2025 22 22 19,audio recordings/Audio_07_20_2025_22_22_19.mp3,1,.mp3,126.694,Audio Bee,,,,,,,,audio recordings/Audio_07_20_2025_22_22_19.mp3,
todo,audio_07_28_2025_21_29,Session Audio 07 28 2025 21 29 20,audio recordings/Audio_07_28_2025_21_29_20.mp3,1,.mp3,,Audio Bee,,,,,,,,audio recordings/Audio_07_28_2025_21_29_20.mp3,
todo,audio_08_04_2025_22_14,Session Audio 08 04 2025 22 14 33,audio recordings/Audio_08_04_2025_22_14_33.mp3,1,.mp3,37867.461,Audio Bee,,,,,,,,audio recordings/Audio_08_04_2025_22_14_33.mp3,
todo,audio_08_07_2025_09_00,Session Audio 08 07 2025 09 00 07,audio recordings/Audio_08_07_2025_09_00_07.mp3,1,.mp3,1950.373,Audio Bee,,,,,,,,audio recordings/Audio_08_07_2025_09_00_07.mp3,
todo,audio_08_07_2025_22_08,Session Audio 08 07 2025 22 08 52,audio recordings/Audio_08_07_2025_22_08_52.mp3,1,.mp3,671.708,Audio Bee,,,,,,,,audio recordings/Audio_08_07_2025_22_08_52.mp3,
todo,audio_08_07_2025_22_39,Session Audio 08 07 2025 22 39 26,audio recordings/Audio_08_07_2025_22_39_26.mp3,1,.mp3,39509.624,Audio Bee,,,,,,,,audio recordings/Audio_08_07_2025_22_39_26.mp3,
todo,audio_08_08_2022_08_59,Session Audio 08 08 2022 08 59 12,audio recordings/Audio_08_08_2022_08_59_12.mp3,1,.mp3,,Audio Bee,,,,,,,,audio recordings/Audio_08_08_2022_08_59_12.mp3,
todo,audio_08_12_2025_23_47_02,Session Audio 08 12 2025 23 47 02 1,audio recordings/Audio_08_12_2025_23_47_02_1.mp3,1,.mp3,29009.184,Audio Bee,,,,,,,,audio recordings/Audio_08_12_2025_23_47_02_1.mp3,
todo,audio_08_16_2025_19_20,Session Audio 08 16 2025 19 20 48,audio recordings/Audio_08_16_2025_19_20_48.mp3,1,.mp3,989.904,Audio Bee,,,,,,,,audio recordings/Audio_08_16_2025_19_20_48.mp3,
todo,audio_08_30_2023_19_33,Session Audio 08 30 2023 19 33 57,audio recordings/Audio_08_30_2023_19_33_57.mp3,1,.mp3,,Audio Bee,,,,,,,,audio recordings/Audio_08_30_2023_19_33_57.mp3,
todo,audio_08_31_2025_18_32,Session Audio 08 31 2025 18 32 57,audio recordings/Audio_08_31_2025_18_32_57.mp3,1,.mp3,3139.312,Audio Bee,,,,,,,,audio recordings/Audio_08_31_2025_18_32_57.mp3,
todo,audio_09_06_2023_11_42,Session Audio 09 06 2023 11 42 33,audio recordings/Audio_09_06_2023_11_42_33.mp3,1,.mp3,,Audio Bee,,,,,,,,audio recordings/Audio_09_06_2023_11_42_33.mp3,
todo,audio_09_06_2023_11_42_33 (1),Session Audio 09 06 2023 11 42 33 (1),audio recordings/Audio_09_06_2023_11_42_33 (1).mp3,1,.mp3,,Audio Bee,,,,,,,,audio recordings/Audio_09_06_2023_11_42_33 (1).mp3,
todo,audio_09_08_2025_22_07,Session Audio 09 08 2025 22 07 55,audio recordings/Audio_09_08_2025_22_07_55.mp3,1,.mp3,2128.398,Audio Bee,,,,,,,,audio recordings/Audio_09_08_2025_22_07_55.mp3,
todo,audio_09_17_2025_12_44,Session Audio 09 17 2025 12 44 30,audio recordings/Audio_09_17_2025_12_44_30.mp3,1,.mp3,843.723,Audio Bee,,,,,,,,audio recordings/Audio_09_17_2025_12_44_30.mp3,
todo,audio_10_02_2024_10_24,Session Audio 10 02 2024 10 24 36,audio recordings/Audio_10_02_2024_10_24_36^.wav,2,.mp3|.wav,569.632,Audio Bee,,,,,,,,audio recordings/Audio_10_02_2024_10_24_36^.wav | audio recordings/Audio_10_02_2024_10_24_36.mp3,
todo,audio_10_02_2025_08_34,Session Audio 10 02 2025 08 34 16,audio recordings/Audio_10_02_2025_08_34_16.mp3,1,.mp3,203.279,Audio Bee,,,,,,,,audio recordings/Audio_10_02_2025_08_34_16.mp3,
todo,audio_10_03_2024_22_35,Session Audio 10 03 2024 22 35 21,audio recordings/Audio_10_03_2024_22_35_21^.wav,2,.mp3|.wav,11.288,Audio Bee,,,,,,,,audio recordings/Audio_10_03_2024_22_35_21^.wav | audio recordings/Audio_10_03_2024_22_35_21.mp3,
todo,audio_10_03_2024_22_40,Session Audio 10 03 2024 22 40 07,audio recordings/Audio_10_03_2024_22_40_07^.wav,2,.mp3|.wav,3243.224,Audio Bee,,,,,,,,audio recordings/Audio_10_03_2024_22_40_07^.wav | audio recordings/Audio_10_03_2024_22_40_07.mp3,
todo,audio_10_06_2024_22_04,Session Audio 10 06 2024 22 04 25,audio recordings/Audio_10_06_2024_22_04_25^.wav,2,.mp3|.wav,1451.396,Audio Bee,,,,,,,,audio recordings/Audio_10_06_2024_22_04_25^.wav | audio recordings/Audio_10_06_2024_22_04_25.mp3,
todo,audio_10_07_2024_00_06,Session Audio 10 07 2024 00 06 43,audio recordings/Audio_10_07_2024_00_06_43^.wav,3,.mp3|.wav,3433.232,Audio Bee,,,,,,,,audio recordings/Audio_10_07_2024_00_06_43^.wav | audio recordings/Test Pod Files/Audio_10_07_2024_00_06_43^.wav | audio recordings/Audio_10_07_2024_00_06_43.mp3,
todo,audio_10_07_2024_01_22,Session Audio 10 07 2024 01 22 36,audio recordings/Audio_10_07_2024_01_22_36^.wav,2,.mp3|.wav,1991.288,Audio Bee,,,,,,,,audio recordings/Audio_10_07_2024_01_22_36^.wav | audio recordings/Audio_10_07_2024_01_22_36.mp3,
todo,audio_10_07_2024_09_10,Session Audio 10 07 2024 09 10 46,audio recordings/Audio_10_07_2024_09_10_46^.wav,2,.mp3|.wav,14.496,Audio Bee,,,,,,,,audio recordings/Audio_10_07_2024_09_10_46^.wav | audio recordings/Audio_10_07_2024_09_10_46.mp3,
todo,audio_10_07_2024_09_12,Session Audio 10 07 2024 09 12 46,audio recordings/Audio_10_07_2024_09_12_46^.wav,2,.mp3|.wav,17.444,Audio Bee,,,,,,,,audio recordings/Audio_10_07_2024_09_12_46^.wav | audio recordings/Audio_10_07_2024_09_12_46.mp3,
todo,audio_10_07_2024_09_20,Session Audio 10 07 2024 09 20 49,audio recordings/Audio_10_07_2024_09_20_49^.wav,2,.mp3|.wav,29.576,Audio Bee,,,,,,,,audio recordings/Audio_10_07_2024_09_20_49^.wav | audio recordings/Audio_10_07_2024_09_20_49.mp3,
todo,audio_10_08_2024_07_58,Session Audio 10 08 2024 07 58 00,audio recordings/Audio_10_08_2024_07_58_00^.wav,2,.mp3|.wav,89.788,Audio Bee,,,,,,,,audio recordings/Audio_10_08_2024_07_58_00^.wav | audio recordings/Audio_10_08_2024_07_58_00.mp3,
todo,audio_10_08_2024_21_31,Session Audio 10 08 2024 21 31 31,audio recordings/Audio_10_08_2024_21_31_31^.wav,2,.mp3|.wav,698.6,Audio Bee,,,,,,,,audio recordings/Audio_10_08_2024_21_31_31^.wav | audio recordings/Audio_10_08_2024_21_31_31.mp3,
todo,audio_10_08_2024_21_46,Session Audio 10 08 2024 21 46 12,audio recordings/Audio_10_08_2024_21_46_12^.wav,2,.mp3|.wav,,Audio Bee,,,,,,,,audio recordings/Audio_10_08_2024_21_46_12^.wav | audio recordings/Audio_10_08_2024_21_46_12.mp3,
todo,audio_10_08_2024_21_46_12 (1),Session Audio 10 08 2024 21 46 12 (1),audio recordings/Audio_10_08_2024_21_46_12 (1)^.wav,2,.mp3|.wav,821.04,Audio Bee,,,,,,,,audio recordings/Audio_10_08_2024_21_46_12 (1)^.wav | audio recordings/Audio_10_08_2024_21_46_12 (1).mp3,
todo,audio_10_08_2024_22_12,Session Audio 10 08 2024 22 12 47,audio recordings/Audio_10_08_2024_22_12_47^.wav,2,.mp3|.wav,234.328,Audio Bee,,,,,,,,audio recordings/Audio_10_08_2024_22_12_47^.wav | audio recordings/Audio_10_08_2024_22_12_47.mp3,
todo,audio_10_08_2024_22_35,Session Audio 10 08 2024 22 35 51,audio recordings/Audio_10_08_2024_22_35_51.mp3,1,.mp3,306.956,Audio Bee,,,,,,,,audio recordings/Audio_10_08_2024_22_35_51.mp3,
todo,audio_10_09_2025_19_14,Session Audio 10 09 2025 19 14 33,audio recordings/Audio_10_09_2025_19_14_33.mp3,1,.mp3,494.386,Audio Bee,,,,,,,,audio recordings/Audio_10_09_2025_19_14_33.mp3,
todo,audio_10_10_2024_09_43,Session Audio 10 10 2024 09 43 14,audio recordings/Audio_10_10_2024_09_43_14^.wav,2,.mp3|.wav,779.6,Audio Bee,,,,,,,,audio recordings/Audio_10_10_2024_09_43_14^.wav | audio recordings/Audio_10_10_2024_09_43_14.mp3,
